 Keyword	Units	Type	Component	Legend Label
My_US_R2	N-m	Moment	Wheels	Ext moment on whl from usm R2	Wheel R2
My_Wc_L1	N-m	Moment	Wheels	Tire My at wheel center L1	Tire My at wheel center L1
My_Wc_L2	N-m	Moment	Wheels	Tire My at wheel center L2	Tire My at wheel center L2
My_Wc_R1	N-m	Moment	Wheels	Tire My at wheel center R1	Tire My at wheel center R1
My_Wc_R2	N-m	Moment	Wheels	Tire My at wheel center R2	Tire My at wheel center R2
MzExL1	N-m	Moment	External actions	External MzExL1	Suspension
MzExL2	N-m	Moment	External actions	External MzExL2	Suspension
MzExR1	N-m	Moment	External actions	External MzExR1	Suspension
MzExR2	N-m	Moment	External actions	External MzExR2	Suspension
MzGExL1	N-m	Moment	External actions	External MzGExL1	Suspension
MzGExL2	N-m	Moment	External actions	External MzGExL2	Suspension
MzGExR1	N-m	Moment	External actions	External MzGExR1	Suspension
MzGExR2	N-m	Moment	External actions	External MzGExR2	Suspension
MZGEXT	N-m	Moment	External actions	External MzG 	Sprung mass
Mz_Air	N-m	Moment	Aerodynamics	Vehicle aero. yaw moment	Vehicle aerodynamic Z
MZ_EXT	N-m	Moment	External actions	External Mz 	Sprung mass
Mz_KP_L1	N-m	Moment	Steering	Steering moment about kingpin L1	Steering about kingpin L1
Mz_KP_L2	N-m	Moment	Steering	Steering moment about kingpin L2	Steering about kingpin L2
Mz_KP_R1	N-m	Moment	Steering	Steering moment about kingpin R1	Steering about kingpin R1
Mz_KP_R2	N-m	Moment	Steering	Steering moment about kingpin R2	Steering about kingpin R2
Mz_L1	N-m	Moment	Tires	Tire L1 aligning moment	Tire L1 aligning
Mz_L2	N-m	Moment	Tires	Tire L2 aligning moment	Tire L2 aligning
Mz_R1	N-m	Moment	Tires	Tire R1 aligning moment	Tire R1 aligning
Mz_R2	N-m	Moment	Tires	Tire R2 aligning moment	Tire R2 aligning
Mz_Wc_L1	N-m	Moment	Wheels	Tire Mz at wheel center L1	Tire Mz at wheel center L1
Mz_Wc_L2	N-m	Moment	Wheels	Tire Mz at wheel center L2	Tire Mz at wheel center L2
Mz_Wc_R1	N-m	Moment	Wheels	Tire Mz at wheel center R1	Tire Mz at wheel center R1
Mz_Wc_R2	N-m	Moment	Wheels	Tire Mz at wheel center R2	Tire Mz at wheel center R2
M_Boost1	N-m	Torque	Steering	Axle 1 steering boost torque	Axle 1 power steering
M_Boost2	N-m	Torque	Steering	Axle 2 steering boost torque	Axle 2 power steering
M_Clutch	N-m	Torque	Powertrain	Torq. trans. device clutch torq.	Torque transfer device clutch
M_Cl_Cap	N-m	Torque	Powertrain	Max. main clutch torque capacity	Torque transfer device clutch
M_ColHys	N-m	Torque	Steering	Steering col. hysteresis torque	Steering
M_ColVis	N-m	Torque	Steering	Steering column damping torque	Steering
M_D1visc	N-m	Torque	Powertrain	Front diff. viscous torque	Front diff. viscous coupling
M_D1_Cl	N-m	Torque	Powertrain	Front differential clutch torque	Front differential clutch
M_D1_Cl2	N-m	Torque	Powertrain	Front diff. 2nd clutch torque	Front diff. second clutch
M_D2visc	N-m	Torque	Powertrain	Rear diff. viscous torque	Rear diff. viscous coupling
M_D2_Cl	N-m	Torque	Powertrain	Rear differential clutch torque	Rear differential clutch
M_D2_Cl2	N-m	Torque	Powertrain	Rear diff. 2nd clutch torque	Rear diff. second clutch
M_D3f	N-m	Torque	Powertrain	Transfer case front shaft torque	Transfer case front output shaft
M_D3r	N-m	Torque	Powertrain	Transfer case rear shaft torque	Transfer case rear output shaft
M_D3visc	N-m	Torque	Powertrain	Transfer case viscous torque	Transfer case viscous coupling
M_D3_Cl	N-m	Torque	Powertrain	Transfer case clutch torque	Transfer case clutch
M_D3_Cl2	N-m	Torque	Powertrain	Transfer case 2nd clutch torque	Transfer case second clutch
M_EngOut	N-m	Torque	Powertrain	Engine crankshaft output torque	Engine crankshaft output
M_Eng_In	N-m	Torque	Powertrain	Engine crankshaft input torque	Engine crankshaft input
M_L1_Cl	N-m	Torque	Powertrain	Front left whl. clutch torque	Front left wheel clutch
M_L2_Cl	N-m	Torque	Powertrain	Rear left whl. clutch torque	Rear left wheel clutch
M_R1_Cl	N-m	Torque	Powertrain	Front right whl. clutch torque	Front right wheel clutch
M_R2_Cl	N-m	Torque	Powertrain	Rear right whl. clutch torque	Rear right wheel clutch
M_SW	N-m	Torque	Steering	Steering wheel torque	Steering wheel
M_TBAR	N-m	Torque	Steering	Steering torsion bar torque	Steering
M_TC	N-m	Torque	Powertrain	Trans input shaft torque	Transmission input shaft
M_Trans	N-m	Torque	Powertrain	Trans. output shaft torque	Transmission output shaft
PbkCh_L1	MPa	Pressure	Brakes	Brake whl. cylinder pressure L1	Brake wheel cylinder L1
PbkCh_L2	MPa	Pressure	Brakes	Brake whl. cylinder pressure L2	Brake wheel cylinder L2
PbkCh_R1	MPa	Pressure	Brakes	Brake whl. cylinder pressure R1	Brake wheel cylinder R1
PbkCh_R2	MPa	Pressure	Brakes	Brake whl. cylinder pressure R2	Brake wheel cylinder R2
PbkD_L1	MPa	Pressure	Brakes	Brake delivery pressure L1	Brake delivery L1
PbkD_L2	MPa	Pressure	Brakes	Brake delivery pressure L2	Brake delivery L2
PbkD_R1	MPa	Pressure	Brakes	Brake delivery pressure R1	Brake delivery R1
PbkD_R2	MPa	Pressure	Brakes	Brake delivery pressure R2	Brake delivery R2
Pbk_Con	MPa	Pressure	Brakes	Brake control input (M/C)	Brake master cylinder
Pitch	deg	Angle	Chassis motion	Pitch, vehicle	Vehicle pitch
PitchGL1	deg	Angle	Ground and road	Pitch at ground, wheel L1	Pitch at ground, wheel L1
PitchGL2	deg	Angle	Ground and road	Pitch at ground, wheel L2	Pitch at ground, wheel L2
PitchGR1	deg	Angle	Ground and road	Pitch at ground, wheel R1	Pitch at ground, wheel R1
PitchGR2	deg	Angle	Ground and road	Pitch at ground, wheel R2	Pitch at ground, wheel R2
PitchRd	deg	Angle	Chassis motion	Vehicle pitch rel. to road ref	Vehicle pitch
Pitch_L1	deg	Angle	Wheels	Pitch, wheel L1	Pitch, wheel L1
Pitch_L2	deg	Angle	Wheels	Pitch, wheel L2	Pitch, wheel L2
Pitch_R1	deg	Angle	Wheels	Pitch, wheel R1	Pitch, wheel R1
Pitch_R2	deg	Angle	Wheels	Pitch, wheel R2	Pitch, wheel R2
PtchAero	deg	Angle	Aerodynamics	Aero pitch of sprung mass	Aero pitch
PtchPath	deg	Angle	Driver model path	Pitch at ground on driver path	Ground at driver path
PtchShad	deg	Angle	Shadow	Pitch angle of vehicle shadow	Shadow
PwrEngAv	kW	Power	Powertrain	Engine available power	Engine available
PwrEngIn	kW	Power	Powertrain	Engine crankshaft input power	Engine crankshaft input
PwrEngO	kW	Power	Powertrain	Engine crankshaft output power	Engine crankshaft output
PwrTrans	kW	Power	Powertrain	Transmission output shaft power	Transmission output shaft
PwrWheel	kW	Power	Powertrain	Power to wheels from powertrain	Drive wheels
Pwr_SC	kW	Power	Speed controller	Power from speed control (no PT)	Speed controller (no powertrain)
Pwr_SCrq	kW	Power	Driver model	Power requested from speed ctrl	Speed controller requested power
Pwr_TC	kW	Power	Powertrain	Trans input shaft power	Transmission input shaft
Qfuel	-	Fuel rate	Powertrain	Fuel rate	Fuel
Rgear_Tr	-	Dimensionless ratio	Powertrain	Transmission gear ratio	Transmission gear ratio
RhoPathY	1/m	Curvature	Driver model path	Curvature of path (road lateral)	Driver path (road lateral)
RhoPathZ	1/m	Curvature	Driver model path	Curvature of path (road normal)	Driver path (road normal)
Rho_Road	1/m	Curvature	Driver model path	Curvature of road X-Y ref. path	Driver reference path
RolA_A1r	deg/s2	Angular acceleration	Axles	Axle 1 relative roll acc.	Axle 1 relative roll
RolA_A2r	deg/s2	Angular acceleration	Axles	Axle 2 relative roll acc.	Axle 2 relative roll
Roll	deg	Angle	Chassis motion	Roll, vehicle	Vehicle roll
RolLcaL1	deg	Angle	Suspensions	L1 lower control arm roll	L1 lower control arm roll
RolLcaL2	deg	Angle	Suspensions	L2 lower control arm roll	L2 lower control arm roll
RolLcaR1	deg	Angle	Suspensions	R1 lower control arm roll	R1 lower control arm roll
RolLcaR2	deg	Angle	Suspensions	R2 lower control arm roll	R2 lower control arm roll
RollGL1	deg	Angle	Ground and road	Roll at ground, wheel L1	Roll at ground, wheel L1
RollGL2	deg	Angle	Ground and road	Roll at ground, wheel L2	Roll at ground, wheel L2
RollGR1	deg	Angle	Ground and road	Roll at ground, wheel R1	Roll at ground, wheel R1
RollGR2	deg	Angle	Ground and road	Roll at ground, wheel R2	Roll at ground, wheel R2
RollPath	deg	Angle	Driver model path	Roll at ground on driver path	Ground at driver path
RollShad	deg	Angle	Shadow	Roll angle of vehicle shadow	Shadow
Roll_A1r	deg	Angle	Axles	Axle 1 relative roll	Axle 1 relative roll
Roll_A2r	deg	Angle	Axles	Axle 2 relative roll	Axle 2 relative roll
Roll_E	deg	Angle	Chassis motion	Roll (Euler), vehicle	Vehicle roll (Euler)
Roll_L1	deg	Angle	Wheels	Roll (Euler), wheel L1	Roll, wheel L1
Roll_L2	deg	Angle	Wheels	Roll (Euler), wheel L2	Roll, wheel L2
Roll_R1	deg	Angle	Wheels	Roll (Euler), wheel R1	Roll, wheel R1
Roll_R2	deg	Angle	Wheels	Roll (Euler), wheel R2	Roll, wheel R2
Roll_Rd	deg	Angle	Chassis motion	Vehicle roll rel. to road ref	Vehicle roll
RolR_A1r	deg/s	Angular rate	Axles	Axle 1 relative roll rate	Axle 1 relative roll
RolR_A2r	deg/s	Angular rate	Axles	Axle 2 relative roll rate	Axle 2 relative roll
RotTrans	rev	Rotation	Powertrain	Trans. output shaft rotation	Transmission output shaft
Rot_D3f	rev	Rotation	Powertrain	Trans case front shaft rotation	Transfer case front output shaft
Rot_D3r	rev	Rotation	Powertrain	Trans case rear shaft rotation	Transfer case rear output shaft
Rot_Eng	rev	Rotation	Powertrain	Engine crankshaft rotation	Engine crankshaft
Rot_L1	rev	Rotation	Wheels	Wheel L1 rotation	wheel L1
Rot_L2	rev	Rotation	Wheels	Wheel L2 rotation	wheel L2
Rot_R1	rev	Rotation	Wheels	Wheel R1 rotation	wheel R1
Rot_R2	rev	Rotation	Wheels	Wheel R2 rotation	wheel R2
Rot_TC	rev	Rotation	Powertrain	Trans input shaft rotation	Transmission input shaft
R_AV_TC	-	Dimensionless ratio	Powertrain	TC output/input speed ratio	TC output/input speed
R_M_TC	-	Dimensionless ratio	Powertrain	TC out./input shaft torque ratio	TC output/input shaft torque
Station	m	Longitudinal distance	Driver model path	Station (path) at vehicle origin	Path station at vehicle origin
Sta_Prof	m	Longitudinal distance	Ground and road	Station for road profiles	Road profile station
Sta_Road	m	Longitudinal distance	Ground and road	Station (road) at vehicle origin	Road station at vehicle origin
Steer_L1	deg	Angle	Steering	Wheel steer L1	Wheel steer L1
Steer_L2	deg	Angle	Steering	Wheel steer L2	Wheel steer L2
Steer_R1	deg	Angle	Steering	Wheel steer R1	Wheel steer R1
Steer_R2	deg	Angle	Steering	Wheel steer R2	Wheel steer R2
Steer_SW	deg	Angle	Steering	Steering wheel angle	Steering wheel
StrAV_SW	deg/s	Angular rate	Steering	Steering wheel angular rate	Steering wheel
StrC_L1	deg	Angle	Steering	Wheel L1 compliance steer	Wheel L1 compliance steer
StrC_L2	deg	Angle	Steering	Wheel L2 compliance steer	Wheel L2 compliance steer
StrC_R1	deg	Angle	Steering	Wheel R1 compliance steer	Wheel R1 compliance steer
StrC_R2	deg	Angle	Steering	Wheel R2 compliance steer	Wheel R2 compliance steer
StrK_L1	deg	Angle	Steering	Wheel L1 kinematic steer	Wheel L1 kinematic steer
StrK_L2	deg	Angle	Steering	Wheel L2 kinematic steer	Wheel L2 kinematic steer
StrK_R1	deg	Angle	Steering	Wheel R1 kinematic steer	Wheel R1 kinematic steer
StrK_R2	deg	Angle	Steering	Wheel R2 kinematic steer	Wheel R2 kinematic steer
StrSWr_1	deg	Angle	Steering	Axle 1 reduced SW angle	Axle 1 reduced SW
StrSWr_2	deg	Angle	Steering	Axle 2 reduced SW angle	Axle 2 reduced SW
TC_Lock	-	Boolean	Powertrain	Torque converter lockup signal	Torque converter lockup clutch
Throttle	-	Dimensionless ratio	Powertrain	Normalized throttle at Pedal	Pedal
Thrtl_SC	-	Dimensionless ratio	Powertrain	Throttle (speed controller)	Pedal (speed controller)
Thr_Eng	-	Dimensionless ratio	Powertrain	Normalized throttle at Engine	Engine
Thr_Intl	-	Dimensionless ratio	Powertrain	Normalized throttle (internal)	Pedal (internal)
T_Event	s	Time	Time	Time since event clock reset	Event
T_Rtr_L1	C	Temperature	Brakes	Brake rotor temperature (L1)	L1 brake rotor
T_Rtr_L2	C	Temperature	Brakes	Brake rotor temperature (L2)	L2 brake rotor
T_Rtr_R1	C	Temperature	Brakes	Brake rotor temperature (R1)	R1 brake rotor
T_Rtr_R2	C	Temperature	Brakes	Brake rotor temperature (R2)	R2 brake rotor
T_Stamp	s	Time	Time	Simulation time stamp	Simulation time stamp
Vair	km/h	Speed	Aerodynamics	Air speed rel. to vehicle	Air relative to vehicle
Vbk_Tot	mm3	Volume	Brakes	Total brake corner volume	Brake system
VJStL1	mm/s	Compression rate	Suspensions	L1 susp jounce stop comp. rate	L1 jounce stop
VJStL2	mm/s	Compression rate	Suspensions	L2 susp jounce stop comp. rate	L2 jounce stop
VJStR1	mm/s	Compression rate	Suspensions	R1 susp jounce stop comp. rate	R1 jounce stop
VJStR2	mm/s	Compression rate	Suspensions	R2 susp jounce stop comp. rate	R2 jounce stop
VRStL1	mm/s	Compression rate	Suspensions	L1 susp rebound stop comp. rate	L1 rebound stop
VRStL2	mm/s	Compression rate	Suspensions	L2 susp rebound stop comp. rate	L2 rebound stop
VRStR1	mm/s	Compression rate	Suspensions	R1 susp rebound stop comp. rate	R1 rebound stop
VRStR2	mm/s	Compression rate	Suspensions	R2 susp rebound stop comp. rate	R2 rebound stop
VStKP_L1	deg/s	Angular rate	Steering	Steering rate about kingpin L1	Steering about kingpin L1
VStKP_L2	deg/s	Angular rate	Steering	Steering rate about kingpin L2	Steering about kingpin L2
VStKP_R1	deg/s	Angular rate	Steering	Steering rate about kingpin R1	Steering about kingpin R1
VStKP_R2	deg/s	Angular rate	Steering	Steering rate about kingpin R2	Steering about kingpin R2
Vwind	km/h	Speed	Aerodynamics	Wind speed	Wind
Vx	km/h	Longitudinal speed	Chassis motion	Longitudinal speed, vehicle	Vehicle total CG
VxCenL1	km/h	Longitudinal speed	Tires	Vx, center of tire contact L1	Center of tire contact L1
VxCenL2	km/h	Longitudinal speed	Tires	Vx, center of tire contact L2	Center of tire contact L2
VxCenR1	km/h	Longitudinal speed	Tires	Vx, center of tire contact R1	Center of tire contact R1
VxCenR2	km/h	Longitudinal speed	Tires	Vx, center of tire contact R2	Center of tire contact R2
VxNf_SM	km/h	Speed	Chassis motion	Global X speed, vehicle SM CG	Vehicle SM CG (global X)
VxN_S1	km/h	Speed	Motion Sensors	Global X speed, sensor 1	Sensor 1 global X
VxTarget	km/h	Longitudinal speed	Speed controller	Target speed	Target speed
Vx_Err	km/h	Longitudinal speed	Speed controller	Speed controller error	Controller error
Vx_IErr	m	Speed error integral	Speed controller	Integrated speed control error	Integrated speed error
Vx_L1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L1	Wheel L1 (equivalent)
Vx_L2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel L2	Wheel L2 (equivalent)
Vx_R1	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R1	Wheel R1 (equivalent)
Vx_R2	km/h	Longitudinal speed	Wheels	Vx (equivalent), wheel R2	Wheel R2 (equivalent)
Vx_Rd	km/h	Longitudinal speed	Chassis motion	Vehicle long. speed, road ref	Vehicle total CG
Vx_S1	km/h	Speed	Motion Sensors	Longitudinal speed, sensor 1	Sensor 1 longitudinal
Vx_SM	km/h	Longitudinal speed	Chassis motion	Long. speed, vehicle SM CG	Vehicle SM CG
Vx_Wc_L1	km/h	Longitudinal speed	Wheels	Vx at wheel center L1	Vx at Wheel center L1
Vx_Wc_L2	km/h	Longitudinal speed	Wheels	Vx at wheel center L2	Vx at Wheel center L2
Vx_Wc_R1	km/h	Longitudinal speed	Wheels	Vx at wheel center R1	Vx at Wheel center R1
Vx_Wc_R2	km/h	Longitudinal speed	Wheels	Vx at wheel center R2	Vx at Wheel center R2
Vy	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle	Vehicle total CG
VyNf_SM	km/h	Speed	Chassis motion	Global Y speed, vehicle SM CG	Vehicle SM CG (global Y)
VyN_S1	km/h	Speed	Motion Sensors	Global Y speed, sensor 1	Sensor 1 global Y
VyTC_L1	km/h	Lateral speed	Tires	Vy, L1 center of tire contact	Center of tire contact L1
VyTC_L2	km/h	Lateral speed	Tires	Vy, L2 center of tire contact	Center of tire contact L2
VyTC_R1	km/h	Lateral speed	Tires	Vy, R1 center of tire contact	Center of tire contact R1
VyTC_R2	km/h	Lateral speed	Tires	Vy, R2 center of tire contact	Center of tire contact R2
VY_Rack1	mm/s	Speed	Steering	Axle 1 steering rack disp. rate	Axle 1 steering
VY_Rack2	mm/s	Speed	Steering	Axle 2 steering rack disp. rate	Axle 2 steering
Vy_Rd	km/h	Lateral speed	Chassis motion	Vehicle lat. speed, road ref	Vehicle total CG
Vy_S1	km/h	Speed	Motion Sensors	Lateral speed, sensor 1	Sensor 1 lateral
Vy_SM	km/h	Lateral speed	Chassis motion	Lateral speed, vehicle SM CG	Vehicle SM CG
Vy_Wc_L1	km/h	Lateral speed	Wheels	Vy at wheel center L1	Vy at Wheel center L1
Vy_Wc_L2	km/h	Lateral speed	Wheels	Vy at wheel center L2	Vy at Wheel center L2
Vy_Wc_R1	km/h	Lateral speed	Wheels	Vy at wheel center R1	Vy at Wheel center R1
Vy_Wc_R2	km/h	Lateral speed	Wheels	Vy at wheel center R2	Vy at Wheel center R2
Vz	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle	Vehicle total CG
VzN_S1	km/h	Speed	Motion Sensors	Global Z speed, sensor 1	Sensor 1 global Z
Vz_Rd	km/h	Vertical speed	Chassis motion	Vehicle vert. speed, road ref	Vehicle total CG
Vz_S1	km/h	Speed	Motion Sensors	Vertical speed, sensor 1	Sensor 1 vertical
Vz_SM	km/h	Vertical speed	Chassis motion	Vertical speed, vehicle SM CG	Vehicle SM CG
Vz_Wc_L1	km/h	Vertical speed	Wheels	Vz at wheel center L1	Vz at Wheel center L1
Vz_Wc_L2	km/h	Vertical speed	Wheels	Vz at wheel center L2	Vz at Wheel center L2
Vz_Wc_R1	km/h	Vertical speed	Wheels	Vz at wheel center R1	Vz at Wheel center R1
Vz_Wc_R2	km/h	Vertical speed	Wheels	Vz at wheel center R2	Vz at Wheel center R2
v_mod1	-	v_mod1	VS Commands	v_mod1	v_mod1
v_mod2	-	v_mod2	VS Commands	v_mod2	v_mod2
v_mod3	-	v_mod3	VS Commands	v_mod3	v_mod3
v_mod4	-	v_mod4	VS Commands	v_mod4	v_mod4
V_S1	km/h	Speed	Motion Sensors	Absolute speed, sensor 1	Sensor 1 absolute speed
XCG_SM	m	Global X coordinate	Chassis motion	SM CG X coordinate, vehicle	Vehicle
XCG_TM	m	Global X coordinate	Chassis motion	Tot. CG X coordinate, vehicle	Vehicle
Xctc_L1	m	Global X coordinate	Tires	X coordinate, tire CTC L1	Center of tire contact L1
Xctc_L2	m	Global X coordinate	Tires	X coordinate, tire CTC L2	Center of tire contact L2
Xctc_R1	m	Global X coordinate	Tires	X coordinate, tire CTC R1	Center of tire contact R1
Xctc_R2	m	Global X coordinate	Tires	X coordinate, tire CTC R2	Center of tire contact R2
Xo	m	Global X coordinate	Chassis motion	X coordinate, vehicle origin	Vehicle
Xrd_Air	m	Global X coordinate	Ground and road	X coord. of road aero ref.	Road Reference Frame
X_camF	m	Global X coordinate	Camera	X coord. of camera front point	Camera front point X
X_camR	m	Global X coordinate	Camera	X coord. of camera rear point	Camera rear point X
X_Design	m	Global X coordinate	Driver model path	X coordinate of reference path	Driver reference path
X_L1	m	Global X coordinate	Wheels	X coordinate, wheel center L1	Wheel center L1
X_L2	m	Global X coordinate	Wheels	X coordinate, wheel center L2	Wheel center L2
X_R1	m	Global X coordinate	Wheels	X coordinate, wheel center R1	Wheel center R1
X_R2	m	Global X coordinate	Wheels	X coordinate, wheel center R2	Wheel center R2
X_S1	m	Global X coordinate	Motion Sensors	Global X, sensor 1	Sensor 1 X
X_Target	m	Global X coordinate	Driver model path	X coordinate of target path	Target
Yaw	deg	Angle	Chassis motion	Yaw, vehicle	Vehicle yaw
Yaw_CamF	deg	Angle	Camera	Yaw (road) at camera front point	Camera front point yaw
Yaw_CamR	deg	Angle	Camera	Yaw (road) at camera rear point	Camera rear point yaw
Yaw_L1	deg	Angle	Wheels	Yaw, wheel L1	Yaw, wheel L1
Yaw_L2	deg	Angle	Wheels	Yaw, wheel L2	Yaw, wheel L2
Yaw_R1	deg	Angle	Wheels	Yaw, wheel R1	Yaw, wheel R1
Yaw_R2	deg	Angle	Wheels	Yaw, wheel R2	Yaw, wheel R2
Yaw_Wind	deg	Angle	Aerodynamics	Global wind heading (yaw)	Wind heading
YCG_SM	m	Global Y coordinate	Chassis motion	SM CG Y coordinate, vehicle	Vehicle
YCG_TM	m	Global Y coordinate	Chassis motion	Tot. CG Y coordinate, vehicle	Vehicle
Yctc_L1	m	Global Y coordinate	Tires	Y coordinate, tire CTC L1	Center of tire contact L1
Yctc_L2	m	Global Y coordinate	Tires	Y coordinate, tire CTC L2	Center of tire contact L2
Yctc_R1	m	Global Y coordinate	Tires	Y coordinate, tire CTC R1	Center of tire contact R1
Yctc_R2	m	Global Y coordinate	Tires	Y coordinate, tire CTC R2	Center of tire contact R2
Yo	m	Global Y coordinate	Chassis motion	Y coordinate, vehicle origin	Vehicle
Yrd_Air	m	Global Y coordinate	Ground and road	Y coord. of road aero ref.	Road Reference Frame
Y_camF	m	Global Y coordinate	Camera	Y coord. of camera front point	Camera front point Y
Y_camR	m	Global Y coordinate	Camera	Y coord. of camera rear point	Camera rear point Y
Y_Design	m	Global Y coordinate	Driver model path	Y coordinate of reference path	Driver reference path
Y_L1	m	Global Y coordinate	Wheels	Y coordinate, wheel center L1	Wheel center L1
Y_L2	m	Global Y coordinate	Wheels	Y coordinate, wheel center L2	Wheel center L2
Y_R1	m	Global Y coordinate	Wheels	Y coordinate, wheel center R1	Wheel center R1
Y_R2	m	Global Y coordinate	Wheels	Y coordinate, wheel center R2	Wheel center R2
Y_Rack1	mm	Displacement	Steering	Axle 1 steering rack disp.	Axle 1 steering
Y_Rack2	mm	Displacement	Steering	Axle 2 steering rack disp.	Axle 2 steering
Y_S1	m	Global Y coordinate	Motion Sensors	Global Y, sensor 1	Sensor 1 Y
Y_Target	m	Global Y coordinate	Driver model path	Y coordinate of target path	Target
ZCG_SM	m	Global Z coordinate	Chassis motion	SM CG Z coordinate, vehicle	Vehicle
ZCG_TM	m	Global Z coordinate	Chassis motion	Tot. CG Z coordinate, vehicle	Vehicle
Zgnd_L1	m	Global Z coordinate	Ground and road	Ground Z coord under tire L1	Ground under tire L1
Zgnd_L2	m	Global Z coordinate	Ground and road	Ground Z coord under tire L2	Ground under tire L2
Zgnd_R1	m	Global Z coordinate	Ground and road	Ground Z coord under tire R1	Ground under tire R1
Zgnd_R2	m	Global Z coordinate	Ground and road	Ground Z coord under tire R2	Ground under tire R2
Zo	m	Global Z coordinate	Chassis motion	Z coordinate, vehicle origin	Vehicle
Zrd_Air	m	Global Z coordinate	Ground and road	Z coord. of road aero ref.	Road reference frame
Z_Aero	m	Height	Aerodynamics	Height of aero ref pt above road	Aerodynamic ref point height
Z_camF	m	Global Z coordinate	Camera	Z coord. of camera front point	Camera front point Z
Z_camR	m	Global Z coordinate	Camera	Z coord. of camera rear point	Camera rear point Z
Z_Gnd_F	m	Global Z coordinate	Aerodynamics	Front average ground z	Aero Z front
Z_Gnd_R	m	Global Z coordinate	Aerodynamics	Rear average ground z	Aero Z rear
Z_L1	m	Global Z coordinate	Wheels	Z coordinate, wheel center L1	Wheel center L1
Z_L2	m	Global Z coordinate	Wheels	Z coordinate, wheel center L2	Wheel center L2
Z_R1	m	Global Z coordinate	Wheels	Z coordinate, wheel center R1	Wheel center R1
Z_R2	m	Global Z coordinate	Wheels	Z coordinate, wheel center R2	Wheel center R2
Z_S1	m	Global Z coordinate	Motion Sensors	Global Z, sensor 1	Sensor 1 Z
Z_Shadow	m	Global Z coordinate	Shadow	Z coordinate, vehicle shadow	Shadow
